quarter,speaker,title,content,sentiment,confidence,sentiment_category,LLM_sentiment,LLM_pct_strong_positive,LLM_pct_slightly_positive,LLM_pct_neutral,LLM_pct_slightly_negative,LLM_pct_strong_negative,Manual Annotations
Q1_2025,Ben Reitzes,Analyst,"Hey, guys. Thanks a lot for the question. And hey, Tim, wanted to ask you who -- you knew this one was coming, but there's a perception that you're a big beneficiary of lower cost of compute. And I was wondering if you could give your worldly perspective here on the DeepSeek situation and if you are are going to -- if anything's happened that changed your views in terms of a tailwind to margins and your ability to execute even due to the potential for cost to come down due to that development and probably what was going to happen anyway. But I'd love your perspective on that, and then I have a quick follow-up. Thanks.",neutral,0.78845346,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Sure. In general, I think innovation that drives efficiency is a good thing. And, you know, that's what you see in that model. Our tight integration of silicon and software, I think, will continue to serve us very well. As you know, we do things on the device, and we do things in the private cloud, and which mimics from an architectural point of view what happens on device. And from a capex point of view, we've always taken a very prudent and deliberate approach to our expenditure, and we continue to leverage a hybrid model, which, I think, continues to serve us well.",neutral,0.711586654,Neutral,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
Q1_2025,Ben Reitzes,Analyst,"Great. All right. Thanks, Tim. And then, you know, just with regard to, you know, the iPhone trajectory, do you feel like -- I guess, what do -- you know, you obviously don't talk about new products and stuff like that, but do you feel that there's a lot of room for form factor innovation in the future? Or do you feel that the -- you know, that the current lineup kind of shows where you're going? I guess, without pulling punches, wondering if you thought, in terms of the phone innovation, if there's a lot more to come and you could see the kind of current market changing a bit over the next two to three years. Thanks.",neutral,0.877806067,Neutral,Neutral,0,0.2,0.7,0.1,0,Strong Positive
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"I think -- Ben, I think there's a lot more to come, and I could not feel more optimistic about our product pipeline. So, I think there's a lot of innovation left on the smartphone.",neutral,0.644623995,Neutral,Slightly Positive,0.2,0.6,0.2,0,0,Slightly Positive
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Thank you, Ben. Operator, could we have the next question, please? Operator Our next question is from Michael Ng with Goldman Sachs. Please go ahead.",neutral,0.940497577,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,Mike Ng,Goldman Sachs -- Analyst,"Good afternoon. Thank you for the question. I have two as well. First, it was encouraging to hear about the record for iPhone operators, which I think is something you haven't said for about a year now. I was wondering if you could talk a little bit about what you would attribute this upgrade strength to. Has Apple Intelligence played a role in helping upgrades in the markets that you've launched in? Thanks.",neutral,0.760352015,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah, thank you for the question. If you look at iPhone, we did set an all-time record for upgraders, so we've never seen a higher level of upgraders before. The install base hit a new all-time high as well. And if you look at the 16 compared to the 15 from launch, which occurred, as you know, in September, so this is across now two quarters from September to the end of the December fiscal quarter, the 16 outperformed the 15. And so, I think you can conclude from that that there are compelling reasons to upgrade. And in the markets where we had launched Apple Intelligence, they outperformed the markets that we did not. So, lots --",positive,0.525246799,Slightly Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Strong Positive
Q1_2025,Mike Ng,Goldman Sachs -- Analyst,"Great, thank you, Tim. That's --",positive,0.727399409,Slightly Positive,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah, lots of good color there.",positive,0.700580597,Slightly Positive,Neutral,0,0.2,0.7,0.1,0,Slightly Positive
Q1_2025,Mike Ng,Goldman Sachs -- Analyst,"Great, thank you, Tim. That's very clear. And then, I had one about the iPad Pro and for the thinner version. I was just wondering if you could talk about that thin form factor for the iPad Pro. You know, how did it help iPad sales overall? And what did your kind of marketing consumer research tell you about how consumers valued that thin product form factor? Thank you.",neutral,0.813322842,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"It's a good question. iPad overall grew 15% for the quarter. And it was more driven by iPad Air and the entry-level iPad than it was the top-level iPad. But overall, we could not be more pleased with the iPad category growing 15%. It's a great achievement for the quarter. And probably, what is most important is that over half of the sales in the December quarter went to customers who were new to the iPad. So, that tells us that, you know, there's a good amount of customers there to attract.",positive,0.690702856,Slightly Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Thanks, Mike. Operator, could we have the next question, please? Operator Our next question is from Amit Daryanani from Evercore. Please go ahead.",neutral,0.934861362,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,Amit Daryanani,Analyst,"Good afternoon everyone. I have two as well. Maybe to start with, you folks are seeing some very robust growth trends in emerging markets right now for Apple products. Can you just at a high level just talk about the durability of growth that you see in emerging markets? And then, do you think the summation of these emerging markets are starting to get big enough or, perhaps, starting to grow fast enough that it can actually offset some of the China headwinds you're going through?",positive,0.506061733,Slightly Positive,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"We have great results in a number of emerging markets. And as you know, from past calls, I'm particularly keen on India. India set a December quarter record during the quarter. And we're opening more stores there. We've announced that we're going to open four new stores there. We also -- the iPhone was the top-selling model in India for the quarter. And it's the second largest smartphone market in the world and the third largest for PCs and tablets, and so there's a huge market. And we have very modest share in these markets, and so I think there's lots of upside there. And that's just one of the emerging markets.",neutral,0.60782218,Neutral,Slightly Positive,0.1,0.5,0.3,0.1,0,Strong Positive
Q1_2025,Kevan Parekh,"Senior Vice President, Chief Financial Officer","And maybe I'll add, Amit, that in emerging markets, we're also seeing double-digit growth on the install base, both in total and for the iPhone as well, so that's also an encouraging sign.",positive,0.952662528,Strong Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
Q1_2025,Amit Daryanani,Analyst,"Perfect. Thank you. And then, I guess, just a question on gross margins for the March quarter. You folks are guiding gross margins flattish on a sequential basis. Typically, I think it tends to be guided up a little bit, 50 basis points, so sequentially. Can we just touch on what are the offsets of the puts and takes you see here on gross margin? And, you know, Kevan, maybe you can just talk about is FX having an outside impact in your margin profile as well in March.",neutral,0.904397011,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Kevan Parekh,"Senior Vice President, Chief Financial Officer","Yes, Amit, let me take that one. You know, as I mentioned in my remarks, we're guiding to 46.5% to 47.5 %. So, we think we're very pleased with that level of guidance. As you mentioned, there's always puts and takes. We do think there's going to be some FX headwinds, which we talked about, that's going to affect, you know, our revenue growth as well. It'll have an impact here on the margin, a sequential impact on margins. But we think that's going to be offset by, you know, favorable costs and the relative mix of services. We also -- as you know, when we move from Q1 to Q2, especially on the product side, because Q1 is such a large quarter for a products business, we do have, you know, a loss of leverage. So, there are some puts and takes, and, you know, I think we feel good about the range. We think it's a very, very strong guide for gross margin.",positive,0.659604788,Slightly Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Strong Positive
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Thanks, Amit. Operator, could we get the next question, please? Operator Our next question is from Wamsi Mohan with Bank of America. Please go ahead.",neutral,0.935385346,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,Wamsi Mohan,Analyst,"Yes, thank you so much. Tim, I want to follow up on your comment about channel inventory in China. I was wondering if you could maybe address more broadly channel inventory across your different product lines and regions. Do you feel they are elevated or out of range in any other regions? And given the clearing event that kind of happened in China, I guess, in the quarter, should we think of a more normal progression quarter on quarter into the March quarter in China in particular? And I have a follow-up.",neutral,0.900411963,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"You know, I don't want to project sales for the current quarter by region. But if you look at the channel inventory and look at iPhone in the aggregate, so on a worldwide basis, we're very comfortable with our channel inventory position. In China, my point was that our channel inventory reduced from the beginning of the quarter to the end of the quarter, and that was over half of the reduction in the reported results. If you look -- part of the reason for that is that our sales were a bit higher than we forecasted them to be toward the end of the quarter. And so, we ended a little leaner than we had expected to.",negative,0.701396763,Slightly Negative,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Wamsi Mohan,Analyst,OK. That's very clear. Thank you.,positive,0.511614144,Slightly Positive,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Wamsi Mohan,Analyst,"And then, maybe as my follow-up, your services growth has been very strong, and I know you've kind of been navigating some pretty challenging regulatory burdens on the business globally. So, how should investors think about maybe either a top line or margin headwind that, let's say, you're currently absorbing in your results that could potentially maybe reverse in a more balanced regulatory environment? Thank you so much.",positive,0.895628631,Strong Positive,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Kevan Parekh,"Senior Vice President, Chief Financial Officer","And so we do see, you know, good momentum across the board. And as well, you know, we continue to see, you know, increasing engagement across the customer base, across all of the service offerings, both transacting and paid accounts. We talked about, you know, reaching all-time highs. And we have over now a billion paid subscriptions across the services platform.",positive,0.934859693,Strong Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Strong Positive
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","All right. Thanks, Wamsi. Operator, could we get the next question, please? Operator Our next question is from Samik Chatterjee with JPMorgan. Please go ahead.",neutral,0.936139047,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,Samik Chatterjee,Analyst,"Hi. Thanks for taking my questions. I guess, for the first one, if I -- I mean, you had a great quarter on Macs and iPads, both. And I'm just curious in terms of if you can help us think about the sustainability of this double-digit growth that you saw in both the product lines. And more interest also here, we are talking about Apple Intelligence sort of influencing volumes on iPhones, but any thoughts on sort of how -- what does that influence look like in terms of volumes for Macs, for example, where, I think, there's a lot of conversation around AI PCs, how you're thinking about the impact there? And I have a quick follow-up. Thank you.",neutral,0.88915503,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah. If you look at Mac, Mac was up 16%. And on iPad, we were up 15%. The Mac was driven by a very strong uptake on our new products during the quarter and the continued success of the MacBook Air. And so, as you know, we've launched an M4-based MacBook Pro, an iMac, and a Mac Mini during the quarter. We believe we've got the best AI PC out there for running workloads. The silicon in the Mac is, and it has been for several years now, designed by us and really designed for these workloads. And so, I don't want to project at the category level for the future, but we're incredibly pleased with both the Mac and the iPad for the quarter.",positive,0.616107345,Slightly Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Strong Positive
Q1_2025,Samik Chatterjee,Analyst,And I'm going to use your earlier discussion about India as a strong emerging market to sort of ask you about the supply chain planning there in terms of how much of the supply chain planning that you're doing is more of a reflection of the growth expectations from that market relative to in terms of more diversification of the supply chain. And how should we sort of think about that strategy related to that particular country? Thank you.,neutral,0.896058738,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah, if you look at the manufacturing we do there, we do manufacturing both for the domestic market, and we export. And so, in -- our business needs a certain economies of scale for it to make sense to manufacture in-country. And so, that really means that we're going to be both a use for the domestic market and an export market.",neutral,0.840671957,Neutral,Neutral,0,0.2,0.7,0.1,0,Neutral
Q1_2025,Suhasini Chandramouli,"Director, Investor Relations","Thank you, Samik. Operator, could we get the next question, please? Operator Our next question is from David Vogt with UBS. Please go ahead.",neutral,0.937116444,Neutral,Neutral,0,0.1,0.8,0.1,0,Neutral
Q1_2025,David Vogt,Analyst,"Great. Thanks guys for taking my question. So, maybe, Tim, this is for you. I'm trying to think about your commentary around Apple Intelligence being sort of a momentum driver for the iPhone business. But when I think about your kind of framework for the March quarter and if I kind of adjust for channel inventory over the last couple of years, kind of feels like your iPhone revenue for the March quarter is going to be relatively similar to the quarter two years ago and even the quarter last year. So, how do we square kind of the momentum versus kind of the iPhone business effectively really kind of unchanged over the last couple of years? And then, second, when I think about kind of the gross margin profile of the business, you know, obviously, it's done a great job in taking gross margins up. Where do you think we sit in terms of on the services side at least where margins could go -- it looks like, you know, the 75% margin spending, incredibly successful quarter, but just trying to get a sense for where do you think this number could go over the -- you know, over the intermediate term? Thank you.",neutral,0.831759334,Neutral,Neutral,0,0.2,0.7,0.1,0,Slightly Positive
Q1_2025,Timothy Donald Cook,Chief Executive Officer,"Yeah, if you look at Apple Intelligence, what my point earlier was that markets where we had rolled out Apple Intelligence during the Q1 period performed better on a year-over-year basis than markets where we had not. And so, that gives us a, you know, positive indicator that we were pleased with. There are many compelling reasons to upgrade. And the other thing I would say that I think I mentioned earlier is that if you look at it from a launch to the end of the December quarter, and so, that goes back to September, the 16 family is outperforming the 15 family. And so, I think those are two good data points. Our next round of language rollouts will be in April. And so, it will be at the -- in our Q3 quarter. And I'll let Kevan take the gross margin question.",positive,0.640257537,Slightly Positive,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
Q1_2025,Kevan Parekh,"Senior Vice President, Chief Financial Officer","Yeah, great. Hi, David, how are you? So, on the services gross margin, I think maybe stepping back a second, you know, services business in general is -- in aggregate, is accretive to the overall company margin. And one of the things is an important reminder is we've got a very broad services portfolio. And those businesses have very different margin profiles. And so, I think one is because of the nature of those businesses and in part also because of the way we account for them. And so, one of the big factors that drives the services gross margins are relative performance of those different businesses within the portfolio. We also have the dynamic of some scale businesses like payment services, iCloud that are actually growing. And there, when we add incremental users, those end up being, you know, accretive to margins as well. And so, in general, what we saw in the December quarter was nice momentum across our entire services business that allows us to deliver, you know, that 75% margin at the services level. And I think our guidance takes into consideration, you know, what we think we're going to land from a company standpoint at 46.5 to 47.5, which, again, we think is a strong guide.",neutral,0.789747119,Neutral,Slightly Positive,0.1,0.5,0.3,0.1,0,Slightly Positive
